releasedyear,count
2014,1
2013,981
2012,4339
2011,5511
2010,5107
2009,4451
2008,3358
2007,2892
2006,2416
2005,1937
2004,1381
2003,1399
2002,1117
2001,1173
2000,902
1999,1181
1998,843
1997,788
1996,688
1995,592
1994,517
1993,564
1992,479
1991,364
1990,470
1989,421
1988,334
1987,280
1986,287
1985,334
1984,303
1983,270
1982,153
1981,112
1980,107
1979,140
1978,231
1977,136
1976,118
1975,134
1974,178
1973,168
1972,166
1971,131
1970,141
1969,124
1968,173
1967,279
1966,103
1965,104
1964,126
1963,88
1962,124
1961,119
1960,123
1959,87
1958,73
1957,98
1956,60
1955,14
1954,17
1953,17
1952,15
1951,33
1950,10
1949,9
1948,13
1947,9
1946,6
1945,9
1944,10
1943,7
1942,3
1941,7
1940,9
1939,6
1938,5
1937,4
1936,7
1935,11
1934,8
1933,7
1932,4
1931,3
1930,5
1929,5
1928,2
1927,4
1926,2
1925,5
1924,5
1923,4
1922,2
1921,2
1920,6
1919,3
1918,1
1916,1
1915,1
1914,20
1913,3
